model,mAP50,mAP50-95,precision,recall,inference_fps
yolov5s.yaml,0.4432590291813661,0.24449303548495305,[          1     0.26093           1     0.36047],[          0     0.47059           0     0.98765],6.000866666636284
yolov8s.yaml,0.4073996739657516,0.24387237489446298,[          1     0.31938           1     0.80223],[          0     0.29412           0     0.91358],6.007590833420787
