epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1228.42,3.21764,5.35785,3.9134,0.7928,0.10494,0.03657,0.00894,3.06884,7.25274,5.83298,0.00036857,0.00036857,0.00036857
2,2494.82,2.85173,3.1098,3.01435,0.12255,0.20407,0.08818,0.02294,2.79316,3.17882,3.18772,0.000714519,0.000714519,0.000714519
3,4579.51,2.51994,2.54558,2.64025,0.6305,0.16049,0.13971,0.04516,2.44895,4.82072,2.90046,0.00103603,0.00103603,0.00103603
4,5932.14,2.40269,2.35505,2.45335,0.73894,0.16712,0.26578,0.07919,2.35355,2.7169,2.87793,0.00100101,0.00100101,0.00100101
5,7304.92,2.30719,2.18305,2.32801,0.42908,0.15977,0.18061,0.07533,2.06983,2.20775,2.56728,0.000964348,0.000964348,0.000964348
6,8598.16,2.19656,2.06439,2.21599,0.95823,0.20002,0.24022,0.10236,1.96952,2.34606,2.45847,0.000927685,0.000927685,0.000927685
7,9841.43,2.13876,1.95927,2.13388,0.67099,0.2362,0.21734,0.09315,2.01123,2.16677,2.48451,0.000891022,0.000891022,0.000891022
8,11131.4,2.09269,1.90496,2.07214,0.94937,0.18233,0.24409,0.10871,2.00585,1.9603,2.46782,0.000854359,0.000854359,0.000854359
